episode,mean,ci_lower,ci_upper
213,-200.0,-200.0,-200.0
214,-200.0,-200.0,-200.0
215,-200.0,-200.0,-200.0
216,-200.0,-200.0,-200.0
217,-200.0,-200.0,-200.0
218,-200.0,-200.0,-200.0
219,-200.0,-200.0,-200.0
220,-200.0,-200.0,-200.0
221,-200.0,-200.0,-200.0
222,-200.0,-200.0,-200.0
223,-200.0,-200.0,-200.0
224,-200.0,-200.0,-200.0
225,-200.0,-200.0,-200.0
226,-200.0,-200.0,-200.0
227,-200.0,-200.0,-200.0
228,-200.0,-200.0,-200.0
229,-200.0,-200.0,-200.0
230,-200.0,-200.0,-200.0
231,-200.0,-200.0,-200.0
232,-200.0,-200.0,-200.0
233,-200.0,-200.0,-200.0
234,-200.0,-200.0,-200.0
235,-200.0,-200.0,-200.0
236,-200.0,-200.0,-200.0
237,-200.0,-200.0,-200.0
238,-200.0,-200.0,-200.0
239,-200.0,-200.0,-200.0
240,-200.0,-200.0,-200.0
241,-200.0,-200.0,-200.0
242,-200.0,-200.0,-200.0
243,-200.0,-200.0,-200.0
244,-200.0,-200.0,-200.0
245,-200.0,-200.0,-200.0
246,-199.53333333333333,-200.41698528425653,-198.64968138241014
247,-200.0,-200.0,-200.0
248,-200.0,-200.0,-200.0
249,-200.0,-200.0,-200.0
250,-200.0,-200.0,-200.0
251,-200.0,-200.0,-200.0
252,-200.0,-200.0,-200.0
253,-200.0,-200.0,-200.0
254,-200.0,-200.0,-200.0
255,-200.0,-200.0,-200.0
256,-200.0,-200.0,-200.0
257,-200.0,-200.0,-200.0
258,-200.0,-200.0,-200.0
259,-200.0,-200.0,-200.0
260,-200.0,-200.0,-200.0
261,-200.0,-200.0,-200.0
262,-200.0,-200.0,-200.0
263,-200.0,-200.0,-200.0
264,-200.0,-200.0,-200.0
265,-200.0,-200.0,-200.0
266,-200.0,-200.0,-200.0
267,-200.0,-200.0,-200.0
268,-200.0,-200.0,-200.0
269,-200.0,-200.0,-200.0
270,-200.0,-200.0,-200.0
271,-200.0,-200.0,-200.0
272,-200.0,-200.0,-200.0
273,-200.0,-200.0,-200.0
274,-200.0,-200.0,-200.0
275,-200.0,-200.0,-200.0
276,-200.0,-200.0,-200.0
277,-200.0,-200.0,-200.0
278,-200.0,-200.0,-200.0
279,-200.0,-200.0,-200.0
280,-200.0,-200.0,-200.0
281,-200.0,-200.0,-200.0
282,-200.0,-200.0,-200.0
283,-200.0,-200.0,-200.0
284,-200.0,-200.0,-200.0
285,-200.0,-200.0,-200.0
286,-200.0,-200.0,-200.0
287,-200.0,-200.0,-200.0
288,-200.0,-200.0,-200.0
289,-200.0,-200.0,-200.0
290,-200.0,-200.0,-200.0
291,-200.0,-200.0,-200.0
292,-200.0,-200.0,-200.0
293,-200.0,-200.0,-200.0
294,-200.0,-200.0,-200.0
295,-200.0,-200.0,-200.0
296,-200.0,-200.0,-200.0
297,-200.0,-200.0,-200.0
298,-200.0,-200.0,-200.0
299,-200.0,-200.0,-200.0
300,-200.0,-200.0,-200.0
301,-200.0,-200.0,-200.0
302,-200.0,-200.0,-200.0
303,-200.0,-200.0,-200.0
304,-200.0,-200.0,-200.0
305,-199.06666666666666,-200.83397056851305,-197.29936276482027
306,-198.6,-201.25095585276958,-195.9490441472304
307,-195.4,-203.33481335214216,-187.46518664785785
308,-197.46666666666667,-200.91817994079463,-194.0151533925387
309,-200.0,-200.0,-200.0
310,-198.73333333333332,-201.13181720012486,-196.33484946654178
311,-198.93333333333334,-200.95310922115777,-196.9135574455089
312,-199.6,-200.35741595793417,-198.84258404206582
313,-196.53333333333333,-201.52564367506372,-191.54102299160294
314,-197.6,-202.144495747605,-193.055504252395
315,-199.06666666666666,-200.83397056851305,-197.29936276482027
316,-198.26666666666668,-200.62205188482653,-195.91128144850683
317,-200.0,-200.0,-200.0
318,-194.13333333333333,-199.36283034476688,-188.90383632189977
319,-198.86666666666667,-201.01267854748016,-196.72065478585318
320,-198.86666666666667,-201.01267854748016,-196.72065478585318
321,-195.8,-201.28239713993798,-190.31760286006204
322,-196.13333333333333,-203.05957059090312,-189.20709607576353
323,-196.26666666666668,-201.13990856883376,-191.3934247644996
324,-197.73333333333332,-200.65785456163974,-194.8088121050269
325,-200.0,-200.0,-200.0
326,-195.0,-201.0672122831568,-188.9327877168432
327,-198.13333333333333,-201.6679411370261,-194.59872552964055
328,-196.53333333333333,-200.31078289816074,-192.75588376850592
329,-193.33333333333334,-201.96063236562568,-184.706034301041
330,-197.93333333333334,-201.84664911599322,-194.02001755067346
331,-196.2,-202.28463472472532,-190.11536527527466
332,-197.93333333333334,-201.46117201277266,-194.405494653894
333,-194.33333333333334,-200.23410651556532,-188.43256015110137
334,-195.53333333333333,-200.0893360517665,-190.97733061490015
335,-196.33333333333334,-201.1081825029504,-191.5584841637163
336,-195.86666666666667,-200.12032996281943,-191.61300337051392
337,-196.66666666666666,-200.75578878561882,-192.5775445477145
338,-197.6,-201.36809681404287,-193.83190318595712
339,-192.33333333333334,-200.85710102747564,-183.80956563919105
340,-192.33333333333334,-198.80012334361177,-185.8665433230549
341,-196.2,-201.54361169580608,-190.8563883041939
342,-197.2,-202.50191170553916,-191.89808829446082
343,-196.6,-201.55776264951126,-191.64223735048873
344,-195.2,-201.20270777418176,-189.19729222581822
345,-197.6,-200.43760349590988,-194.7623965040901
346,-192.46666666666667,-201.1101786003744,-183.82315473295893
347,-196.86666666666667,-201.68848502968348,-192.04484830364987
348,-192.33333333333334,-199.78629853990518,-184.8803681267615
349,-198.0,-201.78707978967083,-194.21292021032917
350,-194.66666666666666,-201.0724436889536,-188.26088964437972
351,-193.73333333333332,-199.6939870981232,-187.77267956854345
352,-197.0,-200.95900593583792,-193.04099406416208
353,-194.93333333333334,-200.31599648804004,-189.55067017862663
354,-191.26666666666668,-199.68522434026514,-182.84810899306822
355,-192.13333333333333,-201.3929207427481,-182.87374592391856
356,-194.4,-199.86242931711197,-188.93757068288804
357,-194.06666666666666,-200.57503853794253,-187.5582947953908
358,-194.13333333333333,-200.6532377543551,-187.61342891231155
359,-183.26666666666668,-196.23031030627723,-170.30302302705613
360,-193.66666666666666,-200.30285263061825,-187.03048070271507
361,-189.53333333333333,-198.43568827104713,-180.63097839561954
362,-188.0,-198.60092473953728,-177.39907526046272
363,-184.13333333333333,-196.4837413289932,-171.78292533767345
364,-198.4,-201.4296638317367,-195.37033616826332
365,-193.4,-200.8532706497066,-185.94672935029342
366,-184.6,-194.64145915912843,-174.55854084087156
367,-185.13333333333333,-196.1649848412714,-174.10168182539525
368,-191.8,-200.11803925613884,-183.48196074386118
369,-193.53333333333333,-201.7640196482657,-185.30264701840096
370,-199.33333333333334,-200.5956932632236,-198.07097340344308
371,-193.93333333333334,-201.76127368776838,-186.1053929788983
372,-190.8,-198.65349061528977,-182.94650938471025
373,-194.26666666666668,-202.10332669596582,-186.43000663736754
374,-186.26666666666668,-197.842976248132,-174.69035708520136
375,-189.46666666666667,-200.78403950144954,-178.1492938318838
376,-189.0,-199.63148197049165,-178.36851802950835
377,-192.2,-200.16788148060002,-184.23211851939996
378,-193.4,-200.38987285212608,-186.41012714787394
379,-200.0,-200.0,-200.0
380,-193.26666666666668,-201.96845189687045,-184.5648814364629
381,-191.66666666666666,-201.0867576625313,-182.246575670802
382,-184.86666666666667,-197.6424548047092,-172.09087852862416
383,-182.73333333333332,-195.36477486157867,-170.10189180508797
384,-186.33333333333334,-196.7746820187461,-175.8919846479206
385,-189.73333333333332,-200.15962725108085,-179.3070394155858
386,-189.0,-200.20385711361146,-177.79614288638854
387,-188.86666666666667,-199.39627064219593,-178.33706269113742
388,-188.2,-198.43579649834615,-177.96420350165383
389,-186.33333333333334,-199.25634814040154,-173.41031852626514
390,-187.33333333333334,-197.25998749346277,-177.4066791732039
391,-192.4,-202.44995720499458,-182.35004279500544
392,-187.66666666666666,-199.66335638292372,-175.6699769504096
393,-188.6,-198.4457138243558,-178.75428617564418
394,-187.8,-198.41251467529415,-177.18748532470588
395,-190.6,-200.46996182813737,-180.73003817186262
396,-180.73333333333332,-193.6666493287398,-167.80001733792685
397,-181.13333333333333,-195.13341961454893,-167.13324705211772
398,-187.66666666666666,-197.04679823014422,-178.2865351031891
399,-179.33333333333334,-193.83164252721804,-164.83502413944865
400,-191.06666666666666,-200.65526171920078,-181.47807161413255
401,-192.13333333333333,-202.57173822921519,-181.69492843745147
402,-180.06666666666666,-193.0421583496363,-167.09117498369702
403,-180.93333333333334,-195.2500914848972,-166.61657518176946
404,-183.2,-197.48181286967605,-168.91818713032393
405,-183.53333333333333,-195.32793329797502,-171.73873336869164
406,-192.2,-199.61284334112085,-184.78715665887913
407,-182.0,-194.76259534734217,-169.23740465265783
408,-174.46666666666667,-190.0372508380148,-158.89608249531852
409,-182.06666666666666,-195.74050307758634,-168.392830255747
410,-191.26666666666668,-199.8519075144714,-182.68142581886195
411,-182.33333333333334,-193.71959197811768,-170.947074688549
412,-183.8,-197.27223393832253,-170.3277660616775
413,-186.8,-200.19087912473762,-173.4091208752624
414,-184.8,-195.3398684874781,-174.26013151252192
415,-183.93333333333334,-195.35522449671552,-172.51144216995115
416,-179.73333333333332,-193.69996402435035,-165.7667026423163
417,-188.0,-197.28928807223076,-178.71071192776924
418,-187.53333333333333,-200.80724886942363,-174.25941779724303
419,-193.53333333333333,-199.0673919096339,-187.99927475703277
420,-186.8,-196.43962282341886,-177.16037717658116
421,-174.66666666666666,-189.62633566676797,-159.70699766656534
422,-186.93333333333334,-197.6694376326556,-176.1972290340111
423,-190.66666666666666,-200.44777438247002,-180.8855589508633
424,-185.66666666666666,-196.35527454470065,-174.97805878863267
425,-187.06666666666666,-196.95506325466218,-177.17827007867115
426,-178.26666666666668,-191.8125424791022,-164.72079085423115
427,-190.93333333333334,-198.22604747320787,-183.6406191934588
428,-184.53333333333333,-195.98716917278193,-173.07949749388473
429,-188.73333333333332,-197.44688321417556,-180.01978345249108
430,-188.26666666666668,-197.59715725596783,-178.93617607736553
431,-180.46666666666667,-192.65845719660632,-168.27487613672702
432,-182.33333333333334,-193.05543373563498,-171.6112329310317
433,-182.93333333333334,-195.66172439746558,-170.2049422692011
434,-189.46666666666667,-197.97078153296872,-180.96255180036462
435,-179.26666666666668,-193.28576498817608,-165.24756834515728
436,-178.13333333333333,-191.4675662985387,-164.79910036812794
437,-184.26666666666668,-195.22003592879753,-173.31329740453583
438,-179.86666666666667,-195.52799925837635,-164.205334074957
439,-184.8,-196.49623602133042,-173.1037639786696
440,-171.13333333333333,-187.06702476213124,-155.1996419045354
441,-185.0,-197.06952658557907,-172.93047341442093
442,-183.66666666666666,-196.8823151240125,-170.4510182093208
443,-171.06666666666666,-186.20874788180765,-155.92458545152567
444,-187.0,-195.95614917249594,-178.04385082750406
445,-181.66666666666666,-193.53601507775073,-169.79731825558258
446,-185.06666666666666,-196.39097709322408,-173.74235624010925
447,-186.0,-197.0812729312917,-174.9187270687083
448,-181.13333333333333,-196.72254754962663,-165.54411911704003
449,-190.6,-201.8704071424042,-179.3295928575958
450,-183.13333333333333,-196.10013750969645,-170.1665291569702
451,-190.2,-198.3249033471174,-182.07509665288256
452,-178.26666666666668,-192.7388086556104,-163.79452467772296
453,-178.8,-195.1612199273499,-162.43878007265013
454,-175.33333333333334,-190.3294801174366,-160.3371865492301
455,-181.06666666666666,-193.9907383837436,-168.14259494958972
456,-176.2,-190.93257250524232,-161.46742749475766
457,-182.53333333333333,-194.3424003532753,-170.72426631339135
458,-181.8,-194.92559512132266,-168.67440487867736
459,-178.53333333333333,-190.75729137088007,-166.3093752957866
460,-187.53333333333333,-196.38953918593768,-178.67712748072898
461,-182.26666666666668,-194.61513908561315,-169.9181942477202
462,-177.66666666666666,-193.15236652647758,-162.18096680685574
463,-187.0,-198.6784132864396,-175.3215867135604
464,-184.86666666666667,-195.50596145811122,-174.22737187522213
465,-187.13333333333333,-196.50472383215907,-177.76194283450758
466,-186.73333333333332,-196.2360735915333,-177.23059307513333
467,-182.53333333333333,-195.52644541855983,-169.54022124810683
468,-183.93333333333334,-194.5188926149067,-173.34777405175998
469,-182.26666666666668,-198.5518087283857,-165.98152460494765
470,-183.33333333333334,-196.26823339880366,-170.39843326786303
471,-180.26666666666668,-195.5970095480004,-164.93632378533297
472,-184.6,-198.33032500384135,-170.86967499615864
473,-195.2,-199.99815401540587,-190.4018459845941
474,-189.8,-199.3934608840258,-180.2065391159742
475,-180.66666666666666,-194.5181551118897,-166.8151782214436
476,-193.53333333333333,-201.75779407846113,-185.30887258820553
477,-185.93333333333334,-196.60083494509965,-175.26583172156703
478,-180.0,-195.51690736655414,-164.48309263344586
479,-185.4,-198.81457372661043,-171.98542627338958
480,-184.26666666666668,-200.15485933268735,-168.378474000646
481,-191.53333333333333,-203.0954753058483,-179.97119136081835
482,-185.46666666666667,-197.8405539339608,-173.09277939937255
483,-181.6,-195.94336755127995,-167.25663244872004
484,-182.06666666666666,-195.5910980070773,-168.54223532625602
485,-180.26666666666668,-193.808760628062,-166.72457270527136
486,-185.86666666666667,-197.70605696127848,-174.02727637205487
487,-190.33333333333334,-198.83905421422895,-181.82761245243773
488,-184.0,-197.6857349902087,-170.3142650097913
489,-182.2,-194.614296103015,-169.78570389698498
490,-181.06666666666666,-194.30916013669352,-167.8241731966398
491,-177.0,-193.5467549823053,-160.4532450176947
492,-186.33333333333334,-200.79981132493452,-171.86685534173216
493,-176.66666666666666,-193.13032098402527,-160.20301234930804
494,-185.26666666666668,-198.19338028070095,-172.3399530526324
495,-189.4,-197.58686887915303,-181.21313112084698
496,-177.33333333333334,-194.2763884603474,-160.3902782063193
497,-179.66666666666666,-197.03763572213177,-162.29569761120155
498,-185.2,-202.2650866768642,-168.13491332313578
499,-169.13333333333333,-187.2153213721812,-151.05134529448546
500,-179.73333333333332,-193.4769160286753,-165.98975063799134
501,-180.86666666666667,-196.34155775202504,-165.3917755813083
502,-181.13333333333333,-196.28826341100967,-165.97840325565699
503,-184.86666666666667,-196.63518111522498,-173.09815221810837
504,-186.46666666666667,-196.4211457195762,-176.51218761375713
505,-172.73333333333332,-191.57786478805906,-153.88880187860758
506,-184.26666666666668,-195.2915061552102,-173.24182717812317
507,-170.93333333333334,-189.71433535290777,-152.1523313137589
508,-178.2,-195.7358366577956,-160.66416334220438
509,-174.0,-190.1064887407391,-157.8935112592609
510,-187.13333333333333,-198.83492060901392,-175.43174605765273
511,-179.2,-196.74557046221193,-161.65442953778805
512,-183.93333333333334,-197.27729414684717,-170.5893725198195
513,-177.8,-193.37533512248703,-162.224664877513
514,-184.2,-197.3463914508042,-171.0536085491958
515,-186.06666666666666,-195.69790212297312,-176.4354312103602
516,-182.8,-195.9891803199104,-169.61081968008963
517,-186.0,-195.43699236456663,-176.56300763543337
518,-178.13333333333333,-192.75150181160922,-163.51516485505744
519,-178.0,-195.19148316269812,-160.80851683730188
520,-180.53333333333333,-194.58697728520312,-166.47968938146354
521,-177.33333333333334,-194.0807701167583,-160.5858965499084
522,-178.73333333333332,-191.76921350961487,-165.69745315705177
523,-183.33333333333334,-195.1998044428331,-171.46686222383357
524,-178.06666666666666,-195.18097411762494,-160.95235921570838
525,-160.06666666666666,-182.82778484788219,-137.30554848545114
526,-175.86666666666667,-193.01924039947014,-158.7140929338632
527,-172.0,-189.56191110835542,-154.43808889164458
528,-173.46666666666667,-190.80635160207595,-156.1269817312574
529,-184.13333333333333,-194.28145998548683,-173.98520668117982
530,-187.2,-196.88380178786548,-177.5161982121345
531,-182.4,-197.60322248881613,-167.19677751118388
532,-176.53333333333333,-196.3575524574623,-156.70911420920436
533,-177.06666666666666,-191.94714669078377,-162.18618664254956
534,-167.6,-186.69057440029852,-148.50942559970147
535,-179.86666666666667,-196.79580960924858,-162.93752372408477
536,-179.4,-194.10310663469156,-164.69689336530845
537,-181.4,-196.55823445597218,-166.24176554402783
538,-180.93333333333334,-196.74612364066695,-165.12054302599972
539,-185.53333333333333,-197.99521640369068,-173.071450262976
540,-185.93333333333334,-196.2062045090365,-175.66046215763018
541,-174.33333333333334,-191.75925738450024,-156.90740928216644
542,-168.66666666666666,-192.3080669385375,-145.0252663947958
543,-180.4,-197.30283313004725,-163.49716686995276
544,-185.6,-198.59039606957558,-172.6096039304244
545,-183.73333333333332,-199.68373221282266,-167.78293445384398
546,-178.06666666666666,-195.55596598473647,-160.57736734859685
547,-175.4,-193.7890296958691,-157.01097030413092
548,-172.86666666666667,-190.33682117508897,-155.39651215824438
549,-167.66666666666666,-188.68952158784796,-146.64381174548535
550,-173.6,-191.30019753310992,-155.89980246689007
551,-169.4,-189.51316139137643,-149.28683860862358
552,-178.13333333333333,-194.13439012806248,-162.13227653860417
553,-179.73333333333332,-193.77676841379918,-165.68989825286747
554,-172.73333333333332,-193.92428166231286,-151.54238500435378
555,-181.53333333333333,-195.17892117105717,-167.8877454956095
556,-173.66666666666666,-192.24953099956255,-155.08380233377076
557,-174.4,-192.85483377329638,-155.94516622670363
558,-174.06666666666666,-190.59945137441002,-157.5338819589233
559,-170.6,-186.06819615426008,-155.1318038457399
560,-175.86666666666667,-192.82100444964303,-158.91232888369032
561,-182.06666666666666,-196.58239445771125,-167.55093887562208
562,-180.2,-195.1191352504836,-165.28086474951638
563,-181.86666666666667,-195.911803741008,-167.82152959232536
564,-180.26666666666668,-193.54521195066746,-166.9881213826659
565,-179.2,-194.2615085919926,-164.13849140800738
566,-176.66666666666666,-195.34392677185974,-157.98940656147357
567,-180.4,-192.24506126057045,-168.55493873942956
568,-180.2,-191.2985162251537,-169.1014837748463
569,-186.26666666666668,-197.04879144043167,-175.4845418929017
570,-182.93333333333334,-198.29038233998148,-167.5762843266852
571,-187.46666666666667,-197.2113985250911,-177.72193480824222
572,-173.53333333333333,-192.15584715974288,-154.9108195069238
573,-185.53333333333333,-199.96459759970742,-171.10206906695925
574,-180.66666666666666,-196.42234330622645,-164.91099002710686
575,-182.2,-197.65207228676968,-166.7479277132303
576,-171.86666666666667,-190.85956596828677,-152.87376736504658
577,-183.53333333333333,-196.7401937009745,-170.32647296569218
578,-181.26666666666668,-196.47512909071546,-166.0582042426179
579,-175.8,-195.1917433793068,-156.4082566206932
580,-180.46666666666667,-196.62276030526814,-164.3105730280652
581,-173.6,-191.91553319635184,-155.28446680364814
582,-184.66666666666666,-196.21964949138115,-173.11368384195217
583,-177.53333333333333,-194.58006747129565,-160.486599195371
584,-164.06666666666666,-185.1979082764342,-142.93542505689913
585,-176.8,-196.7061564390964,-156.89384356090363
586,-175.46666666666667,-191.28420713755366,-159.64912619577967
587,-180.26666666666668,-193.43157380535817,-167.1017595279752
588,-164.66666666666666,-185.81422332441304,-143.51911000892028
589,-173.46666666666667,-192.19887763818525,-154.73445569514809
590,-161.33333333333334,-178.61067537857133,-144.05599128809536
591,-178.06666666666666,-193.26839169938484,-162.8649416339485
592,-174.26666666666668,-190.4054194607381,-158.12791387259526
593,-183.0,-192.80261298498178,-173.19738701501822
594,-178.13333333333333,-193.2216466877637,-163.04501997890296
595,-171.8,-188.12465476102534,-155.47534523897468
596,-175.2,-191.3817886993716,-159.01821130062837
597,-164.46666666666667,-182.23624441108183,-146.6970889222515
598,-177.6,-192.50379211401506,-162.69620788598493
599,-176.06666666666666,-190.62819501950003,-161.5051383138333
